,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,2,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no
1,1,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no
2,0,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no
3,2,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no
4,0,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no
5,1,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no
6,0,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no
7,1,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
8,2,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no
9,1,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no
10,1,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no
11,0,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no
12,2,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no
13,2,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no
14,2,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no
15,2,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no
16,1,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no
17,2,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no
18,2,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no
19,0,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no
20,0,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no
21,2,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no
22,0,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no
23,0,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no
24,1,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
25,1,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no
26,1,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no
27,2,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
28,2,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no
29,1,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no
30,2,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no
31,2,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no
32,2,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no
33,2,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
34,2,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no
35,2,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no
36,0,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no
37,2,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no
38,1,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no
39,1,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no
40,1,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no
41,2,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no
42,2,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no
43,2,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no
44,2,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no
45,1,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no
46,2,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no
47,1,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no
48,2,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no
49,0,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no
50,2,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no
51,2,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no
