trial_id,loss,accuracy,va,iteration,rp,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.lr,config.alpha
b3030_00000,57.24144863158465,0.7446975147456636,0.10431896584976447,20,0.09182515996330598,1.4164071083068848,True,True,,,20,4758a25e5ca04662a1da09c6950f37a2,2021-09-16_21-41-49,1631846509,28.179166078567505,51495,cengyuchendeMacBook-Pro.local,192.168.0.104,28.179166078567505,0,20,"0_alpha=0.059743,lr=0.001",0.001,0.059742857142857146
b3030_00001,48.88194301565488,0.6253869845726063,0.20661726848427828,20,0.11398873980358715,1.1132850646972656,True,True,,,20,7502773068ab4a83a36a862c66fbf47b,2021-09-16_21-42-28,1631846548,22.89532995223999,51520,cengyuchendeMacBook-Pro.local,192.168.0.104,22.89532995223999,0,20,"1_alpha=0.11949,lr=0.001",0.001,0.11948571428571429
b3030_00002,48.879707489146135,0.6661570461379527,0.1701002638035678,20,0.06464255598682389,1.0953679084777832,True,True,,,20,9c6b7e5a800940108f7acb4d09034224,2021-09-16_21-43-05,1631846585,23.298616886138916,51526,cengyuchendeMacBook-Pro.local,192.168.0.104,23.298616886138916,0,20,"2_alpha=0.17923,lr=0.001",0.001,0.17922857142857143
b3030_00003,40.552451398223646,0.552796560994303,0.2728281067356279,20,0.07277899292081336,2.814251184463501,True,True,,,20,f40a8ee5f09a418ea1193b5045e694b7,2021-09-16_21-43-43,1631846623,25.415775060653687,51545,cengyuchendeMacBook-Pro.local,192.168.0.104,25.415775060653687,0,20,"3_alpha=0.23897,lr=0.001",0.001,0.23897142857142858
b3030_00004,29.020850735571653,0.5412239194200011,0.2833374840887708,50,0.040804091963903666,1.1425750255584717,True,True,,,50,6e26875a4fa54f81969d0375292b05d0,2021-09-16_21-44-58,1631846698,57.225486040115356,51573,cengyuchendeMacBook-Pro.local,192.168.0.104,57.225486040115356,0,50,"4_alpha=0.35846,lr=0.001",0.001,0.35845714285714286
b3030_00005,15.243332093854738,0.5412239194200011,0.2833374840887708,50,0.01709532164393701,1.098323106765747,True,True,,,50,02efb722e0534202b7d4085e78d7582c,2021-09-16_21-46-17,1631846777,65.8705940246582,51593,cengyuchendeMacBook-Pro.local,192.168.0.104,65.8705940246582,0,50,"5_alpha=0.47794,lr=0.001",0.001,0.47794285714285717
b3030_00006,33.69522504150242,0.7387510334961771,0.12834093885895315,20,0.24678411478598644,1.0625391006469727,True,True,,,20,7c0dafbf2dae4983913f4392ab94b553,2021-09-16_21-46-52,1631846812,21.80828881263733,51623,cengyuchendeMacBook-Pro.local,192.168.0.104,21.80828881263733,0,20,"6_alpha=0.059743,lr=0.005",0.005,0.059742857142857146
b3030_00007,29.99922831447937,0.767828752408696,0.10457954105222911,20,0.2144166618259663,1.1073288917541504,True,True,,,20,4ebd611b59a24fe89fbc50beadfdd350,2021-09-16_21-47-27,1631846847,21.92570400238037,51644,cengyuchendeMacBook-Pro.local,192.168.0.104,21.92570400238037,0,20,"7_alpha=0.11949,lr=0.005",0.005,0.11948571428571429
b3030_00008,26.975098110425645,0.7345419997752722,0.13201834046927852,20,0.19608658347858832,1.082190752029419,True,True,,,20,ad24892abf774b7a89bc7dcca552030e,2021-09-16_21-48-12,1631846892,29.922918796539307,51651,cengyuchendeMacBook-Pro.local,192.168.0.104,29.922918796539307,0,20,"8_alpha=0.17923,lr=0.005",0.005,0.17922857142857143
b3030_00009,23.85901108798673,0.7045471316183586,0.15722851963097684,20,0.17066953008995467,1.127579927444458,True,True,,,20,4d274c5ec8eb41a5b1ac512f2e685b42,2021-09-16_21-48-45,1631846925,22.0704607963562,51675,cengyuchendeMacBook-Pro.local,192.168.0.104,22.0704607963562,0,20,"9_alpha=0.23897,lr=0.005",0.005,0.23897142857142858
